City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
307,Hokitika,NZ,61.12,broken clouds,-42.7167,170.9667,Beachfront Hotel Hokitika
308,Lufilufi,WS,82.18,overcast clouds,-13.8745,-171.5986,Leuaina Beach Resort and Spa
311,Straumen,NO,55.4,overcast clouds,63.8709,11.2999,Jægtvolden Fjordhotell
313,Robertsport,LR,75.79,moderate rain,6.7533,-11.3686,Kwepunha Retreat
314,Katsuura,JP,66.24,few clouds,35.1333,140.3,Katsuura Hotel Mikazuki
316,Westport,US,55.8,moderate rain,41.1415,-73.3579,Norwalk Inn
317,Gat,IL,70.39,overcast clouds,31.61,34.7642,OlusHome
318,Preston,GB,52.48,moderate rain,53.7667,-2.7167,Legacy Preston International Hotel - managed by Legacy Hotels and Resort
319,Bonfim,BR,79.59,broken clouds,3.0833,-59.95,
322,Tuatapere,NZ,63.28,overcast clouds,-46.1333,167.6833,Ron and Tony's Bed & Breakfast
324,Ukiah,US,63.64,scattered clouds,39.1502,-123.2078,Hampton Inn Ukiah
326,Fort-Shevchenko,KZ,50.83,clear sky,44.5086,50.263,Oasis hotel Bautino
327,Bassila,BJ,72.45,broken clouds,9.0081,1.6654,COMPLEXE MAKOYA ET FILS
328,Beloha,MG,67.33,broken clouds,-25.1667,45.05,
330,Kasongo-Lunda,CD,68.27,broken clouds,-6.4667,16.8167,
332,Fortuna,US,59.47,overcast clouds,40.5982,-124.1573,Super 8 by Wyndham Fortuna
333,Kieta,PG,84.83,light rain,-6.2167,155.6333,Uruna Bay Retreat
334,Tadine,NC,76.55,scattered clouds,-21.55,167.8833,
336,Portel,BR,72.91,scattered clouds,-1.9356,-50.8211,Kitnet do Marcos
337,Vila Do Maio,CV,75.99,overcast clouds,15.1333,-23.2167,Hotel Marilu
339,Kibre Mengist,ET,53.42,scattered clouds,5.8833,38.9833,Gunbuur Motel
341,Bundibugyo,UG,65.62,overcast clouds,0.7414,30.0417,R.A. Kaliisa Accomodations
342,Teahupoo,PF,73.36,light rain,-17.8333,-149.2667,Vanira Lodge
343,Corinto,GR,61.9,overcast clouds,37.9407,22.9573,Ephira Hotel
345,Natal,BR,77.65,few clouds,-5.795,-35.2094,Villa Park Hotel | Natal
346,Mucuri,BR,73.51,scattered clouds,-18.0864,-39.5508,La Bodeguita Pousada
347,Kon Tum,VN,84.22,broken clouds,14.35,108.0,Hoa đà spa- homestay
349,Losino-Petrovskiy,RU,50.45,overcast clouds,55.8696,38.2006,"Sadko, Otel'"
351,Mananara,MG,73.11,overcast clouds,-16.1667,49.7667,Chez Roger
353,Smidovich,RU,50.88,overcast clouds,48.6,133.8167,Gostinnitsa
354,Belmonte,BR,73.9,few clouds,-15.8631,-38.8828,Pousada Monte Carmelo O Pão
355,Cockburn Town,TC,82.53,scattered clouds,21.4612,-71.1419,Osprey Beach Hotel
356,Colac,AU,56.01,broken clouds,-38.3333,143.5833,Otway Gate Motel
358,Sao Felix Do Xingu,BR,73.98,broken clouds,-6.6447,-51.995,Rio Xingu Camping
360,Payakumbuh,ID,83.53,overcast clouds,-0.2202,100.6308,OYO 3114 Homestay Dalimo
362,Floro,NO,56.97,overcast clouds,61.5996,5.0328,Kinn Hotell Florø
367,Marsa Matruh,EG,71.47,overcast clouds,31.3525,27.2453,Beau Site
369,Puerto Del Rosario,ES,64.15,clear sky,28.5004,-13.8627,Hotel JM Puerto del Rosario
373,El Dorado,US,60.82,broken clouds,38.7666,-120.5177,South Fork Group Campground
375,Quatre Cocos,MU,74.08,broken clouds,-20.2078,57.7625,Sunrise Attitude Hotel
376,Syracuse,IT,64.89,broken clouds,37.0881,15.2792,Hotel Posta
377,Knysna,ZA,61.18,overcast clouds,-34.0363,23.0471,Protea Hotel by Marriott Knysna Quays
379,Bandarbeyla,SO,79.18,light rain,9.4942,50.8122,JABIR HOTEL
380,Thaton,MM,80.94,overcast clouds,16.9206,97.3714,"Shwe Pyi Soe Guest House, Thaton"
381,Gra Liyia,GR,64.58,overcast clouds,35.0167,25.6833,Diktynna Traditional Villas
382,Bella Union,UY,72.37,clear sky,-30.2752,-57.6007,Saville Free Shop
383,Daudnagar,IN,75.38,clear sky,25.0333,84.4,पंजाब नेशनल बैंक बैंक मित्र केन्द्र दाउदनगर
385,Constitucion,CL,58.28,overcast clouds,-35.3333,-72.4167,Hotel Boutique Las Azucenas
386,Presidencia Roque Saenz Pena,AR,73.47,moderate rain,-26.7852,-60.4388,Hotel Aconcagua
388,Yucca Valley,US,70.03,clear sky,34.1142,-116.4322,Americas Best Value Inn & Suites Joshua Tree National Park
389,General Cepeda,MX,56.61,clear sky,25.3833,-101.45,Hacienda Los Jose
390,Maragogi,BR,74.23,few clouds,-9.0122,-35.2225,Salinas do Maragogi All Inclusive Resort
391,La Ciotat,FR,64.27,overcast clouds,43.1748,5.6045,ibis La Ciotat
392,Comendador,DO,70.45,few clouds,18.8775,-71.7028,Babina De Los Santos
393,Marang,MY,84.11,light rain,5.2056,103.2059,DBarakah Homestay
394,Port Blair,IN,84.78,overcast clouds,11.6667,92.75,"Welcomhotel By ITC Hotels, Bay Island, Port Blair"
395,Tome,CL,56.01,overcast clouds,-36.6167,-72.95,Dichato habitaciones
396,Koumac,NC,78.46,few clouds,-20.5667,164.2833,Le Monitel
397,Greenville,US,57.61,clear sky,35.6127,-77.3663,the 5th Street Inn
398,Mugumu,TZ,66.24,broken clouds,-1.85,34.7,Lemala Mara
399,Acari,PE,69.69,overcast clouds,-15.4311,-74.6158,HOSPEDAJE XIMENA
403,Selje,NO,61.57,overcast clouds,62.0459,5.351,Doktorgarden Selje
405,Moron,AR,75.09,few clouds,-34.6534,-58.6198,Hotel Morón
406,Cutervo,PE,50.74,broken clouds,-6.379,-78.8157,Hotel Arena Blanca Cutervo
408,Newington,US,50.72,light rain,41.6979,-72.7237,Courtyard by Marriott Hartford Farmington
409,Neiafu,TO,79.48,broken clouds,-18.65,-173.9833,Mystic Sands Beachfront Accommodation
410,Casper,US,55.51,clear sky,42.8666,-106.3131,Ramkota Hotel
411,Lai,TD,74.43,broken clouds,9.3952,16.2989,
413,Lata,PT,62.04,overcast clouds,40.1629,-8.3327,Casa Maquia
415,Solofra,IT,59.94,broken clouds,40.8295,14.8419,Solofra Palace Hotel & Resort
416,Nemuro,JP,54.03,broken clouds,43.3236,145.575,Hotel Nemuro Kaiyoutei
417,Lebu,CL,52.3,overcast clouds,-37.6167,-73.65,Hostal Las Lilas
419,Chimbote,PE,61.7,overcast clouds,-9.0853,-78.5783,Hotel Viera Chimbote
420,Saldanha,ZA,55.45,clear sky,-33.0117,17.9442,Blue Bay Lodge
424,Rawson,AR,66.49,clear sky,-43.3002,-65.1023,Hosteria Sampedro
425,Kruisfontein,ZA,60.89,clear sky,-34.0033,24.7314,Oyster Bay House Rental
429,Melendugno,IT,58.66,mist,40.2747,18.3368,Alba Bed & Breakfast Melendugno
430,Brokopondo,SR,75.13,few clouds,4.75,-55.1667,Matu Island
431,Esperance,AU,64.09,clear sky,-33.8667,121.9,Hospitality Esperance
432,Itoman,JP,82.78,scattered clouds,26.1247,127.6694,Southern Beach Hotel & Resort Okinawa
433,San Andres,CO,80.62,scattered clouds,12.5847,-81.7006,Hotel Arena Blanca
437,Tura,IN,78.31,few clouds,25.5198,90.2201,Hotel RIKMAN Continental
439,Namibe,AO,65.7,scattered clouds,-15.1961,12.1522,Hotel Chik Chik Namibe
442,Narasaraopet,IN,84.25,overcast clouds,16.25,80.0667,AT International Lodge
443,Masunga,BW,75.06,clear sky,-20.6246,27.4488,
444,Letlhakane,BW,71.78,scattered clouds,-21.4167,25.5833,Motswedi Hotel P650
447,Anaco,VE,72.9,broken clouds,9.4389,-64.4728,SAIVEN MALL (SAIVEN C.A.)
450,Morehead,US,56.95,overcast clouds,37.2711,-87.1764,CCI Express Inn
453,Ziro,IN,61.54,clear sky,27.6333,93.8333,Ka-ngam homestay
454,Inirida,CO,72.63,overcast clouds,3.8653,-67.9239,Fuente del Guania Hotel de Lujo
455,Vila Velha,BR,73.35,overcast clouds,-20.3297,-40.2925,Quality Suites Vila Velha
456,Ondjiva,AO,70.11,scattered clouds,-17.0667,15.7333,COMBUESA
457,Muleba,TZ,70.56,overcast clouds,-1.8397,31.6544,DIGNITY GUEST (RUGAIMUKAMU)
458,Flinders,AU,66.2,broken clouds,-34.5833,150.8552,Shellharbour Resort & Conference Centre
459,Nortelandia,BR,72.39,broken clouds,-14.4547,-56.8028,Hotel Karysmã
460,Puli,TW,80.22,broken clouds,23.9664,120.9695,小島好樂
462,Kiunga,PG,83.17,overcast clouds,-6.1219,141.2906,Airport Lodge Kiunga
464,Mukhen,RU,52.48,broken clouds,48.1,136.1,
466,Chardara,KZ,51.73,clear sky,41.2547,67.9692,Жанаргул
467,Ortega,CO,72.57,broken clouds,3.9361,-75.2217,Hotel Gilmart
468,Mount Isa,AU,83.97,overcast clouds,-20.7333,139.5,ibis Styles Mt Isa Verona
470,Jalu,LY,64.83,clear sky,29.0331,21.5482,صاحبة الفخامة
472,Kutum,SD,67.96,scattered clouds,14.2,24.6667,Dibbo areaمنطقة دبو
473,Puebloviejo,CO,80.78,scattered clouds,10.9938,-74.2844,The Journey Hostel
474,Port-Gentil,GA,79.3,moderate rain,-0.7193,8.7815,Fengshui Residence
476,Paracuru,BR,81.1,broken clouds,-3.41,-39.0306,Hotel Vento Brasil
477,Sorong,ID,84.38,broken clouds,-0.8833,131.25,waigo splash hotel
480,Lundazi,ZM,73.81,scattered clouds,-12.2929,33.1782,"Stones Hotel, Lundazi"
485,Kalmunai,LK,84.2,overcast clouds,7.4167,81.8167,VS Villa
487,Soto La Marina,MX,59.77,clear sky,23.7667,-98.2167,Hotel Chicago
488,Teyateyaneng,LS,53.96,clear sky,-29.1472,27.7489,Blue Mountain Inn
489,Atar,MR,77.45,broken clouds,20.5169,-13.0499,Oumou Elghoura
495,Jamame,SO,83.68,scattered clouds,0.0722,42.7506,
496,Los Llanos De Aridane,ES,64.15,clear sky,28.6585,-17.9182,Valle Aridane
497,Arlington,US,59.67,clear sky,32.7357,-97.1081,817 Hotel Days Inn by Wyndham ATT Stadium/Texas Live
498,Bawku,GH,79.68,broken clouds,11.0616,-0.2417,Ultimate Guest House
502,Castro,BR,56.82,overcast clouds,-24.7911,-50.0119,CHACARA BAILLY
503,Valdivia,CL,53.69,broken clouds,-39.8142,-73.2459,Hostal Entre Rios
504,Witu,KE,77.16,few clouds,-2.3889,40.4382,
505,Saint-Francois,FR,58.48,light rain,46.4154,3.9054,Manoir Du Bonheur
506,Rafaela,AR,75.97,scattered clouds,-31.2503,-61.4867,Parra Hotel & Suites
507,Vila Franca Do Campo,PT,73.2,broken clouds,37.7167,-25.4333,Pestana Bahia Praia
508,Trairi,BR,79.2,scattered clouds,-3.2778,-39.2689,janelas do mar
509,Chadiza,ZM,70.75,few clouds,-14.0678,32.4392,Sankhani Guest House
511,Lagoa,PT,68.41,broken clouds,39.05,-27.9833,Casa Das Faias
514,Inhambane,MZ,71.58,few clouds,-23.865,35.3833,Oceano
515,Faya,SA,55.92,clear sky,18.3851,42.4509,املاك خالد الشعشوع
516,Conakry,GN,75.27,thunderstorm with light rain,9.538,-13.6773,Riviera Royal Hotel
518,Manokwari,ID,83.41,broken clouds,-0.8667,134.0833,Swiss Belhotel Manokwari
520,Sao Miguel Do Araguaia,BR,78.39,clear sky,-13.275,-50.1628,Hotel Executivo Palace
521,Musoma,TZ,73.35,overcast clouds,-1.5,33.8,New Peninsula Hotel
523,Ruidoso,US,50.11,clear sky,33.3317,-105.673,Inn of the Mountain Gods
524,Cayenne,GF,82.09,broken clouds,4.9333,-52.3333,Hôtel Le Dronmi
526,Talcahuano,CL,56.88,clear sky,-36.7167,-73.1167,departamento comodo
527,Hollins,US,57.58,moderate rain,37.3413,-79.9431,"Country Inn & Suites by Radisson, Roanoke, VA"
531,Horadiz,AZ,50.77,overcast clouds,39.4488,47.3353,Horadiz Olympic Center
533,Sambava,MG,75.22,overcast clouds,-14.2667,50.1667,Melrose
534,Malanje,AO,65.73,overcast clouds,-9.5402,16.341,Malanje Hotel
535,Meulaboh,ID,77.09,overcast clouds,4.1363,96.1285,Kost Pria
536,Lianran,CN,64.94,overcast clouds,24.9227,102.485,半岛酒店
540,Matiri,TZ,69.89,scattered clouds,-10.75,34.9,
541,Antalaha,MG,76.5,overcast clouds,-14.9003,50.2788,Hotel Vitasoa
543,Quang Ngai,VN,82.06,light rain,15.1167,108.8,Central Hotel
546,Suzhou,CN,73.27,clear sky,31.3114,120.6181,Holiday Inn Jasmine Suzhou
547,Camaqua,BR,67.96,overcast clouds,-30.8511,-51.8122,Bartz Hotel
548,Rayon,MX,58.91,broken clouds,19.1444,-99.5836,La Paloma
549,Salinas,US,64.0,few clouds,36.6777,-121.6555,Laurel Inn & Conference Center
550,Tigzirt,DZ,67.66,overcast clouds,36.8886,4.1198,Bloc D tazoumbirt (amar)
551,Gasa,PS,69.78,overcast clouds,31.5,34.4667,رابطة الفنانين الفلسطينيين
555,Lichinga,MZ,62.69,smoke,-13.3128,35.2406,Residencial Bendiak
556,Hamilton,US,56.98,mist,39.1834,-84.5333,Six Acres Bed & Breakfast
557,Kaduna,NG,68.09,overcast clouds,10.5222,7.4383,HAMDALA HOTEL
558,Caen,FR,54.05,overcast clouds,49.0833,-0.4167,Chambre studio
559,Aldama,MX,71.64,clear sky,22.9167,-98.0667,CASA CANYE
561,Vredendal,ZA,61.14,clear sky,-31.6683,18.5012,Tharrakamma Guest House
562,Dunda,TZ,73.6,broken clouds,-8.1167,34.25,
